GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
0600000US4201769248,4201769248,"Sellersville borough, Bucks County, Pennsylvania",2858,1357,16,0,0,7,7,48,66,24,591,119,168,51,168,77,15,0,1501,5,3,0,22,28,10,54,25,626,154,204,62,223,54,31,0
0600000US4201770744,4201770744,"Silverdale borough, Bucks County, Pennsylvania",619,312,0,0,0,5,0,10,12,2,122,24,36,26,56,17,0,2,307,7,3,0,2,4,10,13,0,103,29,39,40,33,19,5,0
0600000US4201771752,4201771752,"Solebury township, Bucks County, Pennsylvania",5694,2866,0,0,0,26,0,15,19,43,359,135,395,136,913,467,238,120,2828,0,0,0,31,0,28,33,48,516,120,411,265,858,385,68,65
0600000US4201773016,4201773016,"Springfield township, Bucks County, Pennsylvania",3567,1778,0,0,14,50,26,53,24,51,621,111,221,110,322,129,15,31,1789,4,7,0,67,31,34,62,30,585,136,268,156,238,122,49,0
0600000US4201776304,4201776304,"Telford borough, Bucks County, Pennsylvania",1701,714,4,0,15,20,28,21,12,18,260,89,75,33,106,19,7,7,987,10,0,0,25,10,70,38,64,345,87,69,57,162,12,12,26
0600000US4201776784,4201776784,"Tinicum township, Bucks County, Pennsylvania",3110,1599,0,0,27,25,16,32,35,46,557,102,176,72,288,153,52,18,1511,0,0,15,34,17,31,26,41,496,70,156,201,255,123,41,5
0600000US4201777704,4201777704,"Trumbauersville borough, Bucks County, Pennsylvania",712,348,0,0,0,8,16,15,12,2,153,4,50,24,46,14,2,2,364,4,0,2,19,13,11,9,1,159,19,27,27,53,16,4,0
0600000US4201777744,4201777744,"Tullytown borough, Bucks County, Pennsylvania",1377,657,0,5,8,9,13,35,15,37,300,46,77,33,68,8,3,0,720,0,0,11,16,27,25,41,41,328,32,78,42,54,25,0,0
0600000US4201779128,4201779128,"Upper Makefield township, Bucks County, Pennsylvania",4871,2455,0,0,7,12,21,12,6,29,336,81,193,67,967,334,269,121,2416,11,0,0,27,9,21,28,25,449,96,254,192,794,364,92,54
0600000US4201779296,4201779296,"Upper Southampton township, Bucks County, Pennsylvania",11386,5268,12,0,20,59,62,88,78,160,1548,403,674,439,1186,332,98,109,6118,3,0,15,78,23,81,133,169,2363,514,747,497,996,324,131,44
