GEOID,NAME,racUniverse,racWhite,hispUniverse,notHisp,whiteNotHisp,povUniverse,stcty,above200
42091207800,"Census Tract 2078, Montgomery County, Pennsylvania",7076,6882,7076,6954,6780,7040,42091,5750
42091207900,"Census Tract 2079, Montgomery County, Pennsylvania",2500,2390,2500,2439,2329,2500,42091,1856
42091208000,"Census Tract 2080, Montgomery County, Pennsylvania",3868,3587,3868,3793,3563,3629,42091,2740
42091208100,"Census Tract 2081, Montgomery County, Pennsylvania",2968,2813,2968,2837,2688,2940,42091,2304
42091208201,"Census Tract 2082.01, Montgomery County, Pennsylvania",2189,2159,2189,2175,2145,2185,42091,1880
42091208203,"Census Tract 2082.03, Montgomery County, Pennsylvania",4604,4377,4604,4540,4313,4604,42091,3923
42091208204,"Census Tract 2082.04, Montgomery County, Pennsylvania",3603,3550,3603,3516,3463,3603,42091,3466
42091208301,"Census Tract 2083.01, Montgomery County, Pennsylvania",2577,2532,2577,2577,2532,2577,42091,2432
42091208302,"Census Tract 2083.02, Montgomery County, Pennsylvania",9666,9202,9666,9315,8965,9636,42091,8239
42091208400,"Census Tract 2084, Montgomery County, Pennsylvania",3570,3443,3570,3531,3424,3468,42091,2851
42091208500,"Census Tract 2085, Montgomery County, Pennsylvania",4890,4685,4890,4624,4466,4890,42091,3947
42091208601,"Census Tract 2086.01, Montgomery County, Pennsylvania",6042,5446,6042,5804,5259,6042,42091,5532
42091208603,"Census Tract 2086.03, Montgomery County, Pennsylvania",6764,6394,6764,6514,6144,6753,42091,6226
42091208604,"Census Tract 2086.04, Montgomery County, Pennsylvania",5913,5119,5913,5791,5008,5882,42091,4978
42091208702,"Census Tract 2087.02, Montgomery County, Pennsylvania",3332,3094,3332,3270,3032,3332,42091,2872
42091208703,"Census Tract 2087.03, Montgomery County, Pennsylvania",3869,3552,3869,3790,3473,3869,42091,2978
42091208704,"Census Tract 2087.04, Montgomery County, Pennsylvania",4970,3690,4970,4770,3620,4834,42091,3637
42091208801,"Census Tract 2088.01, Montgomery County, Pennsylvania",1337,760,1337,1162,692,1337,42091,714
42091208802,"Census Tract 2088.02, Montgomery County, Pennsylvania",3463,2588,3463,3310,2435,3463,42091,1631
42091208901,"Census Tract 2089.01, Montgomery County, Pennsylvania",3688,3002,3688,3489,2898,3674,42091,2588
42091208903,"Census Tract 2089.03, Montgomery County, Pennsylvania",2673,1830,2673,2475,1753,2673,42091,1827
42091208904,"Census Tract 2089.04, Montgomery County, Pennsylvania",3359,2078,3359,2824,1835,3330,42091,1143
42091208905,"Census Tract 2089.05, Montgomery County, Pennsylvania",2791,2313,2791,2691,2214,2775,42091,2203
42091208906,"Census Tract 2089.06, Montgomery County, Pennsylvania",3788,2584,3788,3671,2544,3636,42091,2255
42091209000,"Census Tract 2090, Montgomery County, Pennsylvania",1520,1079,1520,1402,966,1514,42091,730
42091209100,"Census Tract 2091, Montgomery County, Pennsylvania",5457,4815,5457,5257,4698,5457,42091,4899
42091209201,"Census Tract 2092.01, Montgomery County, Pennsylvania",1714,1538,1714,1701,1525,1714,42091,1497
42091209202,"Census Tract 2092.02, Montgomery County, Pennsylvania",2155,1700,2155,2018,1619,2155,42091,1279
42091210100,"Census Tract 2101, Montgomery County, Pennsylvania",3956,3180,3956,3458,2994,3947,42091,3278
42091210200,"Census Tract 2102, Montgomery County, Pennsylvania",2695,2495,2695,2659,2459,2695,42091,2537
42091210300,"Census Tract 2103, Montgomery County, Pennsylvania",4145,3821,4145,3987,3670,3812,42091,3291
42091210400,"Census Tract 2104, Montgomery County, Pennsylvania",4356,3450,4356,4204,3303,4123,42091,3252
42091210500,"Census Tract 2105, Montgomery County, Pennsylvania",4399,3238,4399,4201,3198,4036,42091,3466
42091210600,"Census Tract 2106, Montgomery County, Pennsylvania",4348,3741,4348,4106,3527,4182,42091,3565
42091210700,"Census Tract 2107, Montgomery County, Pennsylvania",5630,4599,5630,5454,4423,5598,42091,5123
42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",4012,3020,4012,3788,2826,4012,42101,3273
42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",2563,825,2563,2452,821,2439,42101,1172
42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",3530,2740,3530,3276,2520,3331,42101,2607
42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2666,1605,2666,2479,1442,2666,42101,1749
42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",3202,2721,3202,3186,2705,3202,42101,2654
42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",2451,1126,2451,2109,876,1474,42101,737
42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",1301,991,1301,1173,890,1021,42101,809
42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",3254,2138,3254,2967,1866,3238,42101,2140
42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1588,1223,1588,1473,1108,1588,42101,1317
42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",3569,3015,3569,3507,2953,3569,42101,2978
42101000804,"Census Tract 8.04, Philadelphia County, Pennsylvania",4082,3469,4082,3799,3186,4082,42101,3478
42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania",2159,1521,2159,2017,1425,2159,42101,1495
42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania",2663,1912,2663,2613,1862,2064,42101,1296
42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",2664,2296,2664,2638,2270,2664,42101,2199
42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",3392,3144,3392,3195,2947,3392,42101,3015
42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania",3666,3038,3666,3445,2839,3325,42101,2336
42101001102,"Census Tract 11.02, Philadelphia County, Pennsylvania",2566,2045,2566,2536,2015,2533,42101,1842
42101001201,"Census Tract 12.01, Philadelphia County, Pennsylvania",4134,3559,4134,3961,3386,4134,42101,3830
42101001202,"Census Tract 12.02, Philadelphia County, Pennsylvania",5111,4339,5111,4739,4069,4879,42101,3998
42101001300,"Census Tract 13, Philadelphia County, Pennsylvania",6108,3661,6108,5856,3507,6108,42101,4906
42101001400,"Census Tract 14, Philadelphia County, Pennsylvania",3936,2576,3936,3847,2532,3936,42101,2904
42101001500,"Census Tract 15, Philadelphia County, Pennsylvania",2868,1913,2868,2671,1770,2831,42101,2254
42101001600,"Census Tract 16, Philadelphia County, Pennsylvania",2173,1984,2173,2083,1900,2173,42101,1895
42101001700,"Census Tract 17, Philadelphia County, Pennsylvania",2948,2392,2948,2764,2290,2948,42101,2762
42101001800,"Census Tract 18, Philadelphia County, Pennsylvania",3263,2294,3263,3098,2184,3263,42101,2672
42101001900,"Census Tract 19, Philadelphia County, Pennsylvania",3159,1992,3159,2893,1755,3159,42101,2409
42101002000,"Census Tract 20, Philadelphia County, Pennsylvania",2039,494,2039,2000,475,2039,42101,1234
42101002100,"Census Tract 21, Philadelphia County, Pennsylvania",2294,712,2294,2209,639,2294,42101,1339
42101002200,"Census Tract 22, Philadelphia County, Pennsylvania",2309,895,2309,2188,840,2292,42101,1202
42101002300,"Census Tract 23, Philadelphia County, Pennsylvania",2836,2155,2836,2488,1855,2836,42101,1804
42101002400,"Census Tract 24, Philadelphia County, Pennsylvania",5319,3889,5319,4497,3128,5319,42101,3663
42101002500,"Census Tract 25, Philadelphia County, Pennsylvania",3914,2486,3914,3635,2410,3905,42101,2665
42101002701,"Census Tract 27.01, Philadelphia County, Pennsylvania",4177,2292,4177,3193,1363,4177,42101,2039
42101002702,"Census Tract 27.02, Philadelphia County, Pennsylvania",4273,3734,4273,3879,3610,4273,42101,2865
42101002801,"Census Tract 28.01, Philadelphia County, Pennsylvania",4817,2328,4817,3143,1294,4773,42101,2300
42101002802,"Census Tract 28.02, Philadelphia County, Pennsylvania",5903,4087,5903,5172,3743,5903,42101,3553
42101002900,"Census Tract 29, Philadelphia County, Pennsylvania",4167,3152,4167,3307,2627,4167,42101,3186
42101003001,"Census Tract 30.01, Philadelphia County, Pennsylvania",4431,1609,4431,4083,1314,4398,42101,2388
