GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than 10.0 percent,Margin of Error; Less than 10.0 percent,Estimate; 10.0 to 14.9 percent,Margin of Error; 10.0 to 14.9 percent,Estimate; 15.0 to 19.9 percent,Margin of Error; 15.0 to 19.9 percent,Estimate; 20.0 to 24.9 percent,Margin of Error; 20.0 to 24.9 percent,Estimate; 25.0 to 29.9 percent,Margin of Error; 25.0 to 29.9 percent,Estimate; 30.0 to 34.9 percent,Margin of Error; 30.0 to 34.9 percent,Estimate; 35.0 to 39.9 percent,Margin of Error; 35.0 to 39.9 percent,Estimate; 40.0 to 49.9 percent,Margin of Error; 40.0 to 49.9 percent,Estimate; 50.0 percent or more,Margin of Error; 50.0 percent or more,Estimate; Not computed,Margin of Error; Not computed
0600000US4209159120,4209159120,"Pennsburg borough, Montgomery County, Pennsylvania",367,79,30,26,44,24,36,29,59,41,48,34,25,31,0,109,51,43,58,42,16,14
0600000US4209159392,4209159392,"Perkiomen township, Montgomery County, Pennsylvania",277,107,0,109,0,109,41,49,57,64,71,73,0,109,0,109,73,80,35,44,0,109
0600000US4209161664,4209161664,"Plymouth township, Montgomery County, Pennsylvania",1979,203,70,60,180,100,282,150,309,123,281,103,186,89,140,82,178,85,296,103,57,37
0600000US4209162416,4209162416,"Pottstown borough, Montgomery County, Pennsylvania",3902,255,110,74,189,77,657,152,385,128,506,154,338,131,208,109,332,123,1087,151,90,48
0600000US4209163808,4209163808,"Red Hill borough, Montgomery County, Pennsylvania",278,60,0,109,26,22,54,25,41,32,22,19,41,18,0,109,43,34,30,23,21,21
0600000US4209165568,4209165568,"Rockledge borough, Montgomery County, Pennsylvania",322,73,12,13,40,31,20,18,72,62,17,16,53,34,11,12,50,39,47,35,0,109
0600000US4209166576,4209166576,"Royersford borough, Montgomery County, Pennsylvania",921,123,0,109,54,40,159,81,58,42,207,95,50,38,191,79,51,44,140,66,11,17
0600000US4209167528,4209167528,"Salford township, Montgomery County, Pennsylvania",102,49,0,109,33,38,17,15,0,109,0,109,12,14,0,109,0,109,0,109,40,41
0600000US4209168328,4209168328,"Schwenksville borough, Montgomery County, Pennsylvania",317,55,18,16,46,26,23,19,53,27,31,21,46,24,28,18,19,15,34,18,19,17
0600000US4209171016,4209171016,"Skippack township, Montgomery County, Pennsylvania",231,114,0,109,28,44,67,67,51,54,23,28,0,109,0,109,11,17,39,53,12,20
0600000US4209171856,4209171856,"Souderton borough, Montgomery County, Pennsylvania",971,126,11,17,170,70,86,48,173,93,138,83,119,63,53,43,35,32,97,49,89,89
0600000US4209173088,4209173088,"Springfield township, Montgomery County, Pennsylvania",1018,158,38,31,119,61,263,95,126,69,84,53,75,42,0,109,14,17,240,96,59,47
0600000US4209176304,4209176304,"Telford borough, Montgomery County, Pennsylvania",270,72,0,109,12,17,67,47,34,30,56,46,10,16,26,24,40,30,17,20,8,12
0600000US4209177152,4209177152,"Towamencin township, Montgomery County, Pennsylvania",1805,202,55,39,130,92,207,78,278,109,275,93,130,67,128,64,122,78,399,129,81,67
