GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total races tallied for householders:,Total races tallied for Not Hispanic or Latino householders:,Total races tallied for Not Hispanic or Latino householders: - White alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Black or African American alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - American Indian and Alaska Native alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Asian alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Some other race alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders:,Total races tallied for Hispanic or Latino householders: - White alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Black or African American alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - American Indian and Alaska Native alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Asian alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Some other race alone or in combination with one or more other races
0500000US42091,42091,"Montgomery County, Pennsylvania",288354,283999,252831,19562,900,9859,131,716,4355,2646,259,86,34,9,1321
0500000US42093,42093,"Montour County, Pennsylvania",7106,7061,6911,39,15,91,0,5,45,21,2,2,1,0,19
0500000US42095,42095,"Northampton County, Pennsylvania",102554,97119,92880,2483,306,1096,36,318,5435,2549,192,58,17,31,2588
0500000US42097,42097,"Northumberland County, Pennsylvania",38966,38718,38359,165,97,62,7,28,248,112,13,8,2,2,111
0500000US42099,42099,"Perry County, Pennsylvania",16766,16694,16563,31,61,22,6,11,72,50,2,2,0,0,18
0500000US42101,42101,"Philadelphia County, Pennsylvania",602123,561604,287570,241844,3623,22928,576,5063,40519,13956,3444,608,264,172,22075
0500000US42103,42103,"Pike County, Pennsylvania",17634,16997,16204,499,103,106,7,78,637,439,31,9,3,1,154
0500000US42105,42105,"Potter County, Pennsylvania",7044,7023,6916,23,45,32,2,5,21,17,0,1,0,0,3
0500000US42107,42107,"Schuylkill County, Pennsylvania",60726,60395,59816,229,117,186,6,41,331,210,7,9,7,0,98
0500000US42109,42109,"Snyder County, Pennsylvania",13693,13606,13485,49,28,37,2,5,87,51,4,0,1,0,31
0500000US42111,42111,"Somerset County, Pennsylvania",31292,31211,31040,39,67,49,4,12,81,70,0,0,0,0,11
0500000US42113,42113,"Sullivan County, Pennsylvania",2674,2665,2639,1,21,1,0,3,9,6,0,0,0,0,3
0500000US42115,42115,"Susquehanna County, Pennsylvania",16621,16545,16362,50,78,29,6,20,76,57,2,0,0,0,17
0500000US42117,42117,"Tioga County, Pennsylvania",15993,15942,15755,57,78,41,3,8,51,39,1,3,0,0,8
0500000US42119,42119,"Union County, Pennsylvania",13260,13140,12908,77,67,72,4,12,120,77,2,2,2,1,36
0500000US42121,42121,"Venango County, Pennsylvania",22841,22770,22464,152,85,39,8,22,71,55,0,3,0,0,13
0500000US42123,42123,"Warren County, Pennsylvania",17772,17728,17562,18,88,38,6,16,44,35,0,0,1,0,8
0500000US42125,42125,"Washington County, Pennsylvania",81557,81139,77846,2673,253,253,30,84,418,308,24,11,7,2,66
0500000US42127,42127,"Wayne County, Pennsylvania",18451,18270,18012,100,82,50,1,25,181,141,7,0,1,0,32
0500000US42129,42129,"Westmoreland County, Pennsylvania",150412,149850,145918,2708,402,663,35,124,562,426,26,16,11,2,81
0500000US42131,42131,"Wyoming County, Pennsylvania",10806,10758,10661,27,38,25,0,7,48,34,4,1,0,0,9
0500000US42133,42133,"York County, Pennsylvania",149196,146038,139499,4741,517,993,57,231,3158,1373,195,52,17,14,1507
