GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US42107,42107,"Schuylkill County, Pennsylvania",61,14,0,6,0,2,0,12,12,1,0,13,0,1,0,0,0
0500000US42109,42109,"Snyder County, Pennsylvania",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0500000US42111,42111,"Somerset County, Pennsylvania",27,2,0,0,8,0,3,3,3,0,2,0,0,0,6,0,0
0500000US42113,42113,"Sullivan County, Pennsylvania",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US42115,42115,"Susquehanna County, Pennsylvania",13,0,4,0,0,2,0,1,2,0,3,0,1,0,0,0,0
0500000US42117,42117,"Tioga County, Pennsylvania",23,0,0,2,3,6,0,1,0,3,5,0,0,0,0,0,3
0500000US42119,42119,"Union County, Pennsylvania",23,0,0,6,9,8,0,0,0,0,0,0,0,0,0,0,0
0500000US42121,42121,"Venango County, Pennsylvania",30,4,2,0,0,0,5,7,0,2,2,8,0,0,0,0,0
0500000US42123,42123,"Warren County, Pennsylvania",32,5,0,7,4,0,2,0,1,9,0,4,0,0,0,0,0
0500000US42125,42125,"Washington County, Pennsylvania",98,14,15,9,13,0,4,11,4,0,9,0,19,0,0,0,0
0500000US42127,42127,"Wayne County, Pennsylvania",10,2,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0
0500000US42129,42129,"Westmoreland County, Pennsylvania",170,8,13,0,30,8,4,7,0,18,13,12,18,39,0,0,0
0500000US42131,42131,"Wyoming County, Pennsylvania",13,2,2,2,1,0,2,0,0,0,2,2,0,0,0,0,0
0500000US42133,42133,"York County, Pennsylvania",160,3,13,19,10,14,17,12,8,12,30,3,19,0,0,0,0
