GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US34005,34005,"Burlington County, New Jersey",00,Total for all sectors,2005,10934,182063,1700967,7233019
0500000US34005,34005,"Burlington County, New Jersey",11,"Agriculture, forestry, fishing and hunting",2005,22,c,D,D
0500000US34005,34005,"Burlington County, New Jersey",21,Mining ,2005,5,a,D,D
0500000US34005,34005,"Burlington County, New Jersey",22,Utilities,2005,17,848,15432,60759
0500000US34005,34005,"Burlington County, New Jersey",23,Construction,2005,1189,8681,89801,438216
0500000US34005,34005,"Burlington County, New Jersey",31-33,Manufacturing,2005,436,19604,250104,1078064
0500000US34005,34005,"Burlington County, New Jersey",42,Wholesale trade,2005,696,14376,187808,795755
0500000US34005,34005,"Burlington County, New Jersey",44-45,Retail trade,2005,1600,27189,151269,653701
0500000US34005,34005,"Burlington County, New Jersey",48-49,Transportation and warehousing,2005,269,11683,80474,341091
0500000US34005,34005,"Burlington County, New Jersey",51,Information,2005,171,3458,44392,174994
0500000US34005,34005,"Burlington County, New Jersey",52,Finance and insurance,2005,707,16480,235893,924259
0500000US34005,34005,"Burlington County, New Jersey",53,Real estate and rental and leasing,2005,399,3356,43145,157703
0500000US34005,34005,"Burlington County, New Jersey",54,"Professional, scientific, and technical services",2005,1348,12984,162621,701667
0500000US34005,34005,"Burlington County, New Jersey",55,Management of companies and enterprises,2005,82,4620,61747,236527
0500000US34005,34005,"Burlington County, New Jersey",56,Administrative and support and waste management and remediation services,2005,648,12246,96340,429871
0500000US34005,34005,"Burlington County, New Jersey",61,Educational services,2005,128,2038,11982,49163
0500000US34005,34005,"Burlington County, New Jersey",62,Health care and social assistance,2005,1061,21715,180449,798275
0500000US34005,34005,"Burlington County, New Jersey",71,"Arts, entertainment, and recreation",2005,175,g,D,D
0500000US34005,34005,"Burlington County, New Jersey",72,Accommodation and food services,2005,848,13151,39596,172417
0500000US34005,34005,"Burlington County, New Jersey",81,Other services (except public administration),2005,1102,7262,39146,167325
0500000US34005,34005,"Burlington County, New Jersey",99,Industries not classified,2005,31,29,86,486
0500000US34007,34007,"Camden County, New Jersey",00,Total for all sectors,2005,12669,183222,1568189,6885005
0500000US34007,34007,"Camden County, New Jersey",11,"Agriculture, forestry, fishing and hunting",2005,6,b,D,D
0500000US34007,34007,"Camden County, New Jersey",21,Mining ,2005,3,b,D,D
0500000US34007,34007,"Camden County, New Jersey",22,Utilities,2005,22,674,15173,53199
0500000US34007,34007,"Camden County, New Jersey",23,Construction,2005,1324,10504,105120,520979
0500000US34007,34007,"Camden County, New Jersey",31-33,Manufacturing,2005,512,16092,177776,752211
0500000US34007,34007,"Camden County, New Jersey",42,Wholesale trade,2005,769,10918,122005,536347
0500000US34007,34007,"Camden County, New Jersey",44-45,Retail trade,2005,1940,24667,133467,584436
0500000US34007,34007,"Camden County, New Jersey",48-49,Transportation and warehousing,2005,271,6724,54300,228019
0500000US34007,34007,"Camden County, New Jersey",51,Information,2005,163,4040,41023,176219
0500000US34007,34007,"Camden County, New Jersey",52,Finance and insurance,2005,680,8167,116205,465073
0500000US34007,34007,"Camden County, New Jersey",53,Real estate and rental and leasing,2005,439,2987,26129,110566
0500000US34007,34007,"Camden County, New Jersey",54,"Professional, scientific, and technical services",2005,1653,17238,172687,764705
