GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US34005,34005,"Burlington County, New Jersey",00,Total for all sectors,2011,10330,173807,2074564,8587542
0500000US34005,34005,"Burlington County, New Jersey",11,"Agriculture, forestry, fishing and hunting",2011,19,102,622,3320
0500000US34005,34005,"Burlington County, New Jersey",21,"Mining, quarrying, and oil and gas extraction",2011,4,b,559,2405
0500000US34005,34005,"Burlington County, New Jersey",22,Utilities,2011,24,g,D,D
0500000US34005,34005,"Burlington County, New Jersey",23,Construction,2011,960,6551,78273,374150
0500000US34005,34005,"Burlington County, New Jersey",31-33,Manufacturing,2011,355,16521,273942,1124777
0500000US34005,34005,"Burlington County, New Jersey",42,Wholesale trade,2011,608,12672,190672,796081
0500000US34005,34005,"Burlington County, New Jersey",44-45,Retail trade,2011,1439,25944,184440,777242
0500000US34005,34005,"Burlington County, New Jersey",48-49,Transportation and warehousing,2011,280,8033,76293,325505
0500000US34005,34005,"Burlington County, New Jersey",51,Information,2011,176,3811,79000,292461
0500000US34005,34005,"Burlington County, New Jersey",52,Finance and insurance,2011,629,14536,274143,1034195
0500000US34005,34005,"Burlington County, New Jersey",53,Real estate and rental and leasing,2011,344,3155,52022,180185
0500000US34005,34005,"Burlington County, New Jersey",54,"Professional, scientific, and technical services",2011,1317,16745,295576,1248973
0500000US34005,34005,"Burlington County, New Jersey",55,Management of companies and enterprises,2011,88,5464,99223,396734
0500000US34005,34005,"Burlington County, New Jersey",56,Administrative and support and waste management and remediation services,2011,671,11286,118927,494261
0500000US34005,34005,"Burlington County, New Jersey",61,Educational services,2011,161,2224,16857,67334
0500000US34005,34005,"Burlington County, New Jersey",62,Health care and social assistance,2011,1188,24224,220481,980390
0500000US34005,34005,"Burlington County, New Jersey",71,"Arts, entertainment, and recreation",2011,145,2128,7383,37996
0500000US34005,34005,"Burlington County, New Jersey",72,Accommodation and food services,2011,905,12968,46265,203884
0500000US34005,34005,"Burlington County, New Jersey",81,Other services (except public administration),2011,1004,6399,38295,164424
0500000US34005,34005,"Burlington County, New Jersey",99,Industries not classified,2011,13,9,48,173
0500000US34007,34007,"Camden County, New Jersey",00,Total for all sectors,2011,11621,167467,1682893,7237981
0500000US34007,34007,"Camden County, New Jersey",11,"Agriculture, forestry, fishing and hunting",2011,5,49,S,1408
0500000US34007,34007,"Camden County, New Jersey",21,"Mining, quarrying, and oil and gas extraction",2011,2,a,D,D
0500000US34007,34007,"Camden County, New Jersey",22,Utilities,2011,28,1148,34275,110954
0500000US34007,34007,"Camden County, New Jersey",23,Construction,2011,1032,7149,83157,404725
0500000US34007,34007,"Camden County, New Jersey",31-33,Manufacturing,2011,398,11618,147912,604458
0500000US34007,34007,"Camden County, New Jersey",42,Wholesale trade,2011,678,9083,116927,510685
0500000US34007,34007,"Camden County, New Jersey",44-45,Retail trade,2011,1781,23357,143661,615573
0500000US34007,34007,"Camden County, New Jersey",48-49,Transportation and warehousing,2011,274,7298,62530,255495
0500000US34007,34007,"Camden County, New Jersey",51,Information,2011,168,3231,35967,145846
0500000US34007,34007,"Camden County, New Jersey",52,Finance and insurance,2011,555,5284,100700,368613
0500000US34007,34007,"Camden County, New Jersey",53,Real estate and rental and leasing,2011,401,2900,26679,117975
0500000US34007,34007,"Camden County, New Jersey",54,"Professional, scientific, and technical services",2011,1476,11380,155625,711595
0500000US34007,34007,"Camden County, New Jersey",55,Management of companies and enterprises,2011,79,5840,122922,589563
0500000US34007,34007,"Camden County, New Jersey",56,Administrative and support and waste management and remediation services,2011,709,12785,94260,425295
0500000US34007,34007,"Camden County, New Jersey",61,Educational services,2011,149,3443,22956,92227
0500000US34007,34007,"Camden County, New Jersey",62,Health care and social assistance,2011,1523,37896,422494,1806688
0500000US34007,34007,"Camden County, New Jersey",71,"Arts, entertainment, and recreation",2011,141,2161,7898,41933
0500000US34007,34007,"Camden County, New Jersey",72,Accommodation and food services,2011,988,13859,49498,210244
0500000US34007,34007,"Camden County, New Jersey",81,Other services (except public administration),2011,1223,8967,54900,223448
0500000US34007,34007,"Camden County, New Jersey",99,Industries not classified,2011,11,3,S,396
0500000US34015,34015,"Gloucester County, New Jersey",00,Total for all sectors,2011,5780,84157,741165,3283104
0500000US34015,34015,"Gloucester County, New Jersey",11,"Agriculture, forestry, fishing and hunting",2011,4,8,26,128
0500000US34015,34015,"Gloucester County, New Jersey",21,"Mining, quarrying, and oil and gas extraction",2011,5,22,255,1441
0500000US34015,34015,"Gloucester County, New Jersey",22,Utilities,2011,7,182,4077,17395
